DATE,TIME,VISIBILITY
2019-04-01,19:23,46.99%
2019-04-01,19:23,46.99%
2019-04-01,19:23,46.99%
2019-04-01,19:23,46.99%
2019-04-01,19:23,46.99%
2019-04-01,19:23,46.99%
2019-04-01,19:23,46.99%
2019-04-01,19:23,46.99%
2019-04-01,19:23,46.99%
2019-04-01,19:23,46.99%
2019-04-01,19:23,46.99%
2019-04-01,19:23,46.99%
2019-04-01,19:23,46.99%
2019-04-01,19:23,46.99%
2019-04-01,19:23,46.99%
2019-04-01,19:23,46.99%
2019-04-01,19:23,46.99%
2019-04-01,19:23,46.99%
2019-04-01,19:23,46.99%
2019-04-01,19:23,46.99%
2019-04-01,19:23,46.99%
2019-04-01,19:23,46.99%
2019-04-01,19:23,46.99%
